  134, 0.8873, 0.2378, 0.3951
  135, 0.8758, 0.2846, 0.3899
  136, 0.8621, 0.3309, 0.3838
  137, 0.8462, 0.3768, 0.3768
  138, 0.8282, 0.4220, 0.3687
  139, 0.8080, 0.4665, 0.3598
  140, 0.7857, 0.5102, 0.3498
  141, 0.7611, 0.5530, 0.3389
  142, 0.7344, 0.5947, 0.3270
  143, 0.7055, 0.6353, 0.3141
  144, 0.6745, 0.6745, 0.3003
  145, 0.8910, 0.0000, 0.4540
  146, 0.8900, 0.0466, 0.4535
  147, 0.8871, 0.0932, 0.4520
  148, 0.8823, 0.1397, 0.4495
  149, 0.8754, 0.1861, 0.4461
  150, 0.8666, 0.2322, 0.4416
  151, 0.8559, 0.2781, 0.4361
  152, 0.8431, 0.3236, 0.4296
  153, 0.8282, 0.3687, 0.4220
  154, 0.8113, 0.4134, 0.4134
  155, 0.7923, 0.4574, 0.4037
  156, 0.7712, 0.5008, 0.3929
  157, 0.7480, 0.5434, 0.3811
  158, 0.7226, 0.5851, 0.3682
  159, 0.6950, 0.6258, 0.3541
  160, 0.6652, 0.6652, 0.3390
  161, 0.8660, 0.0000, 0.5000
  162, 0.8651, 0.0453, 0.4995
  163, 0.8625, 0.0906, 0.4979
  164, 0.8580, 0.1359, 0.4954
  165, 0.8517, 0.1810, 0.4917
  166, 0.8436, 0.2260, 0.4871
  167, 0.8337, 0.2709, 0.4813
  168, 0.8218, 0.3155, 0.4745
  169, 0.8080, 0.3598, 0.4665
  170, 0.7923, 0.4037, 0.4574
  171, 0.7746, 0.4472, 0.4472
  172, 0.7548, 0.4902, 0.4358
  173, 0.7330, 0.5326, 0.4232
  174, 0.7090, 0.5742, 0.4094
  175, 0.6829, 0.6149, 0.3943
  176, 0.6547, 0.6547, 0.3780
  177, 0.8387, 0.0000, 0.5446
  178, 0.8379, 0.0439, 0.5441
  179, 0.8354, 0.0878, 0.5425
  180, 0.8314, 0.1317, 0.5399
  181, 0.8257, 0.1755, 0.5362
  182, 0.8183, 0.2193, 0.5314
  183, 0.8092, 0.2629, 0.5255
  184, 0.7983, 0.3064, 0.5184
  185, 0.7857, 0.3498, 0.5102
